"er","ks4","of","qmax"
0.848070533480495,0.355807362589985,0.299479691311717,0.999958881556733
0.649342495948076,0.0808828002773226,0.514202647376806,0.998002049569416
0.603668688330799,0.841765655437484,0.831178659573197,0.999806597375748
0.989280897891149,0.275535995140672,0.381603399524465,0.999792254014667
0.837610882939771,0.364668931113556,0.949259728891775,0.999747702227665
0.781770058674738,0.724897272419184,0.0817954370286315,0.999448497993866
0.665764207718894,0.499698596075177,0.362880076747388,0.999661434491708
0.522547253640369,0.221970838494599,0.592482423875481,0.999769678324779
0.691132707288489,0.945500278845429,0.0868972213938832,0.999930138643877
0.584169937064871,0.090613184729591,0.145909546408802,0.998273992985449
0.843264991184697,0.0248189931735396,0.448321762261912,0.996664962236898
0.511025920975953,0.762142184423283,0.435894431080669,0.999763137311979
0.0241383912507445,0.639374218182638,0.590027969097719,0.999914448642732
0.707065711030737,0.00617444468662143,0.637232868932187,0.996786854911892
0.521461306372657,0.115083761978894,0.168835901888087,0.999493171620255
0.310989155201241,0.123139237286523,0.989466573810205,0.99917844548876
0.233868039678782,0.806411138502881,0.365646436112002,0.999615055597088
0.248464972013608,0.677885942393914,0.622979519190267,0.999579024580298
0.804114729631692,0.292174781672656,0.480300729395822,0.999781637548368
0.396927387453616,0.0387542666867376,0.448679409222677,0.997974361694612
0.800236264243722,0.0360295742284506,0.129581766203046,0.995282946870964
0.145233185496181,0.0389665998518467,0.571738237747923,0.996494601631972
0.471650500083342,0.0562927003484219,0.401879164855927,0.999266717920585
0.39051543129608,0.313134202733636,0.800466037588194,0.999857222562458
0.00398146640509367,0.0186084622982889,0.586857037618756,0.998880064930737
0.141729650553316,0.101637088926509,0.812325371894985,0.998722772809194
0.739877579035237,0.258616690058261,0.291597105097026,0.999217774877241
0.0151516133919358,0.847308481810614,0.265286155045033,0.999923581383546
0.669218678027391,0.157501980662346,0.18330980790779,0.999306407656667
0.207921943627298,0.216729250969365,0.629219219554216,0.999468196545684
0.71884423866868,0.0169573288876563,0.655276891542599,0.99884980715406
0.468911190051585,0.427496406249702,0.288464437937364,0.999576464139404
0.00465301400981843,0.0586013903375715,0.130509940674528,0.996054814660063
0.363058265065774,0.64480634429492,0.631359670544043,0.999866861400528
0.0524213595781475,0.294711053138599,0.617976631969213,0.999893854418109
0.433991849189624,0.00368879898451269,0.984931555110961,0.994753122048018
0.312004733365029,0.0311420175712556,0.918992629041895,0.99957185789409
0.177134486613795,0.21486935694702,0.13400254631415,0.999732598564596
