"er","Ks","of","er.Ks","er.of","Ks.of","er-Ks-of"
0.0277752585546145,0.797769631839748,0.0780661324379811,0.00709264182980091,0.058775027221298,0.0167852432282084,0.0137360648883491
0.00124733727223121,0.954727206280856,0.00482497498820213,0.00410143631722743,0.0137909208716988,0.0163994067258273,0.00490871754395716
0.00874816148419177,0.827593941283448,0.104542418963227,0.0221306370154109,0.00489260439988561,0.0251482657384627,0.00694397111537404
0.0539613540727771,0.858778549422149,0.0586244563384996,0.00790256325065513,0.00335817302995921,0.0141080620265919,0.00326684185936799
0.0289412013639175,0.853640873680914,0.0764034209214229,0.00576138233712221,0.0139316978531209,0.015557647830385,0.00576377601311751
0.00577120225753724,0.958682351748116,0.0122973592822808,0.0026763044860808,0.00321362875126321,0.0140372195630429,0.00332193391167901
0.00668194805510143,0.958791648923259,0.0061943551698961,0.0119628921163174,0.00414256607130022,0.00885066029614566,0.00337592936798026
0.0105507600507081,0.916487157297115,0.0329961792260945,0.00961297205849104,0.0101151810946581,0.0139970538496377,0.0062406964232955
0.0315994645354265,0.91629093538369,0.00489208396498225,0.0171741097718638,0.0090814638011135,0.0135360043551497,0.00742593818777426
0.0090647647581904,0.93046678567523,0.00800301892337995,0.016454917130609,0.00769351379632644,0.0224797785776218,0.00583722113864238
0.0274968786032314,0.886454622733591,0.0326747398578625,0.0146070448573285,0.0181607894828771,0.0137528181228921,0.00685310634221736
0.0223897943405979,0.904823018204342,0.0387639525499257,0.00489990511096437,0.010270697431217,0.0127319728703243,0.00612065949262874
0.0097173966232125,0.934981801758145,0.011222944104981,0.0150507018218527,0.0144473939488411,0.0110120642900349,0.00356769745293273
0.0507017136889205,0.913682395971553,0.00168222412828075,0.0181597808724531,0.00455797490520877,0.00847537613666281,0.00274053429692112
0.0108334070216321,0.908192006136733,0.0268015104787131,0.00549622054942348,0.00347820482568373,0.0428655755322597,0.00233307545555483
0.00570918318547673,0.934869564180235,0.0303460887329062,0.00533622986097108,0.000838444747612401,0.0187389563676741,0.00416153292512444
0.00930010874414584,0.923141861589044,0.023176657319135,0.0137001700085602,0.0144288918901642,0.00918941225449937,0.00706289819445138
0.00607133707555193,0.850301662425725,0.103540332566198,0.0162270086370118,0.0041217435277308,0.0170632840565462,0.00267463171123627
0.00986978184275891,0.922033923665941,0.0269482002474518,0.011664950216386,0.00920811669801057,0.0172457483366142,0.00302927899283756
0.0102515832291792,0.842147352546863,0.0682336827083448,0.0307845050528595,0.0087239290673922,0.0213658827889917,0.0184930646063696
0.15323591164433,0.701907261624948,0.0635832704902238,0.0202727745412738,0.0207690551023078,0.0348258423703283,0.00540588422658828
0.00737378373164823,0.937625338792408,0.00699543808196922,0.0280097258708563,0.00829715044195625,0.00637872955788058,0.00531983352328147
0.0329959162057249,0.728141437531523,0.180050945220951,0.00618701000593989,0.0102755989580309,0.0310483461459918,0.0113007459318385
0.018903384008771,0.956686704927737,0.00430599911538737,0.00309607241856167,0.00750201975085035,0.00570187684170518,0.00380394293698738
0.0182038331699158,0.890616682179337,0.0361823908207379,0.011224290744742,0.018066863766274,0.0157463007005984,0.00995963861839488
0.0100378136668388,0.893377778242578,0.0617966102017866,0.00697327002965754,0.00401216471825683,0.0227642833963118,0.00103807974457037
0.00838485850149093,0.92542048197516,0.0223077160905263,0.0139675289171775,0.00621089814856572,0.00749798793639383,0.0162105284306857
0.00567217165161779,0.773273040374893,0.146093801322631,0.00620828061163836,0.0094511965762157,0.0464993953712797,0.0128021140917245
0.0106946441547093,0.947792523713808,0.00117103198224743,0.0119495414599378,0.00860617238206209,0.00611650977287159,0.0136695765343638
0.0435253828700598,0.839786963185714,0.0607111777868095,0.00293994721607403,0.00445491656302262,0.0454910547374695,0.00309055764085053
0.0356589102232818,0.897002561753349,0.021642512235106,0.0250204654661351,0.00707027096669566,0.00795069429394508,0.0056545850614873
0.0358453282862737,0.92512808070645,0.00587505650229561,0.0121869759579102,0.00630235194874074,0.0101247647355378,0.00453744186279192
0.0367395983615463,0.866251807634926,0.0355753232925195,0.0265973270218097,0.0075545195402956,0.0224333422483719,0.00484808190053099
0.0694850628180396,0.786611039470897,0.0371602703357012,0.0862370982511389,0.00890943122921281,0.00908345030751904,0.0025136475874914
0.0113283460941915,0.955325184654969,0.00727006633011872,0.00438511965723144,0.0126544485540041,0.00393065490956987,0.00510617979991546
0.0680687988098496,0.830634841693394,0.0258573399746726,0.0277831515170977,0.0223141713873296,0.0110290356586369,0.0143126609590196
0.0495254558644166,0.854737334787259,0.00551048476528739,0.0687296717852435,0.0106516428543511,0.00736352963019966,0.0034818803132427
0.00327173308066048,0.876285925716707,0.0293456153434231,0.0125324419381212,0.0374052443888059,0.0374976251900422,0.0036614143422401
0.0297664659697151,0.853115710733251,0.0463816994030172,0.0523967092851129,0.0025986057499574,0.0114511246584551,0.00428968420049136
0.00458332701621328,0.952711330586277,0.00952901382423475,0.00763510927058064,0.0154198725312172,0.00525516644332052,0.00486618032815667
0.0238837565972602,0.807260461198838,0.0707139248104513,0.0216001067320085,0.0328304552874234,0.0312409946992933,0.0124703006747253
0.0101798077927032,0.934415787586083,0.011227053621002,0.020232913433965,0.0134071018447101,0.00613210491860262,0.00440523080293409
0.117449235418002,0.843832362386016,0.00637989055514479,0.0164395074124717,0.00397148823794072,0.00953700480433067,0.00239051118609412
0.00646254327728658,0.913497530963987,0.0393159184712523,0.0088746225962342,0.00906958186289783,0.0168368563115809,0.00594294651676119
0.0324679278476674,0.90993123922612,0.0145945492907505,0.012825515533889,0.00261173209449254,0.0233990667458439,0.00416996926123669
0.0244495009807355,0.905375318309414,0.0273962773661004,0.0120899648248669,0.0141091416701121,0.00584902474134689,0.0107307721074242
0.00963423530693346,0.890730680193883,0.0442651903448516,0.00437663586013785,0.018773459974381,0.0282400345400003,0.00397976377981279
0.0217548676602434,0.903136670452695,0.0442687108227928,0.00907751823748741,0.00795942760286149,0.0102045576574953,0.00359824756642468
0.0071673688704779,0.894657391452339,0.0421040381378769,0.016503923852853,0.0110550990003052,0.0239660465801337,0.00454613210601429
0.020278553329108,0.885384326578135,0.0445152919960612,0.0157422080001159,0.00650938101940733,0.0231628915192552,0.00440734755791738
0.0316807541381225,0.926263396470448,0.00827996538332819,0.011426742629472,0.00452308252742733,0.011586914950277,0.00623914390092506
0.0124343538101548,0.904182290977145,0.0134458967202669,0.0184944501121421,0.0314877132130969,0.014369705434628,0.00558558973256629
0.00787631864511717,0.931699535981256,0.0202242065453531,0.00815660937510335,0.00957192284811707,0.0109446499912678,0.0115267566137855
0.0417977170792659,0.907281713844503,0.0171350176345021,0.0131441682183397,0.00887471490453227,0.00934109197690744,0.00242557634194962
0.0115705422628748,0.947251760387195,0.0204682830376944,0.00780696030427661,0.00330743793316202,0.00435993635181735,0.00523507972297976
0.00680401459492292,0.894284491290026,0.0600471962600774,0.00874987451470269,0.0115975225550612,0.012913014121918,0.00560388666329181
0.00913133941937515,0.91395106622114,0.0288631122996954,0.0066999679469234,0.0188734364187515,0.0173908796911182,0.00509019800299637
0.034582090104478,0.843768150736716,0.0642757129193451,0.0334090934889648,0.00584670727998856,0.0125109033417858,0.00560734212872183
0.0157567446256199,0.917883727374904,0.020181592104502,0.0127370892517121,0.0193091638680397,0.00802569777313345,0.00610598500208892
0.00217282637102365,0.969726749452273,0.00772079619552937,0.00190426675435985,0.00657392235123213,0.0100710972043355,0.00183034167124652
0.0236450398241166,0.929945570131577,0.0144435973009467,0.00788230487700136,0.00495144643416755,0.0143884793861055,0.00474356204608528
0.0177644499293266,0.86149750346087,0.0463236168451368,0.00990956354738481,0.0144781354119858,0.0456577028235062,0.00436902798178984
0.011068100380588,0.960149218212036,0.00566418153961554,0.00227761254321797,0.00380828424891101,0.0120033672005344,0.00502923587509707
0.0939294579762213,0.788027363275029,0.0270232751034902,0.0417421155154988,0.0180501140964056,0.0199152601822174,0.0113124138511377
0.00430358752025643,0.925584606952398,0.0306404144793713,0.00495857374289935,0.0162687412170006,0.00928026752723947,0.0089638085608349
0.00293958925835788,0.92716523339167,0.0358339031617144,0.00489465990458761,0.00988092548320224,0.0145014549315575,0.00478423386891036
0.114054048585965,0.816681121004004,0.0105193990243092,0.0272441918512171,0.00462800218993146,0.0067601053953889,0.0201131319491843
0.00269936661031638,0.951422233847745,0.00673731055453923,0.00900974525487114,0.00996911099954573,0.0120404989107839,0.00812173382219861
0.0159568265849205,0.895450284113826,0.0223674125388542,0.0312009085944594,0.0139193662898042,0.0149885537045883,0.0061166481735474
0.0123663575335058,0.841490248975049,0.0843140086496977,0.0110784537805224,0.00311572952726115,0.0438002505311227,0.00383495100284126
0.01540851246721,0.92575005799817,0.00747129167290558,0.0142232905202118,0.0222866252717373,0.0101966066422851,0.00466361542748017
0.100047401102453,0.838876192483243,0.0212615722777271,0.00649389193248927,0.00477270313374247,0.0209153453148465,0.00763289375549869
0.0114324153051264,0.905013891231908,0.042094448807567,0.00716302161305004,0.0157913365924512,0.0157980234995889,0.00270686295030842
0.010988140064064,0.93563844573276,0.0132480463820171,0.00522224848658112,0.0188602331960228,0.00646502823158772,0.0095778579069673
0.0252978140049681,0.86939552180888,0.0508874052640772,0.00974342358002152,0.0169001302227934,0.0215291901490142,0.00624651497024553
0.0387290891456578,0.757676129107863,0.150977535991606,0.00582229966879445,0.015466139594391,0.0239074524264133,0.00742135406527444
0.0109279223638431,0.831670559172026,0.11352111427055,0.011149456776057,0.00416898662608705,0.023457954425082,0.00510400636635477
0.0134843411932318,0.880974848791679,0.0604322140822276,0.00462593380231889,0.00365256301351296,0.0333814109304758,0.00344868818655397
0.01260784168142,0.917598203572514,0.0132737528388304,0.00643863778577903,0.00691668785550257,0.0387365175264489,0.00442835873950509
0.110482431946266,0.786730867333612,0.0523632368874307,0.0185487442175466,0.00846551777751021,0.0149988441866231,0.00841035765101139
0.0162011250033792,0.950583755113148,0.00676705923104028,0.0041063444692004,0.00402024045298507,0.00750800354218875,0.0108134721880583
